Team,Region,Power rating,1st,2nd,Sweet 16,Elite Eight,Final Four,Champ.,Win,Year
Notre Dame 1,Chicago,106.2,✓,>99 %,97.00%,90.00%,81.00%,50.00%,30.00%,2019
Baylor 1,Greensboro,105.8,✓,>99 %,99.00%,87.00%,76.00%,52.00%,28.00%,2019
UConn 2,Albany,104.5,✓,>99 %,97.00%,88.00%,68.00%,35.00%,19.00%,2019
Miss. State 1,Portland,102.2,✓,>99 %,98.00%,88.00%,44.00%,22.00%,10.00%,2019
Oregon 2,Portland,100.2,✓,99.00%,92.00%,85.00%,51.00%,19.00%,6.00%,2019
Louisville 1,Albany,99.7,✓,>99 %,94.00%,75.00%,24.00%,10.00%,4.00%,2019
Stanford 2,Chicago,95.5,✓,96.00%,92.00%,56.00%,8.00%,2.00%,0.60%,2019
Iowa 2,Greensboro,92.1,✓,97.00%,76.00%,42.00%,7.00%,2.00%,0.40%,2019
S. Carolina 4,Greensboro,91.2,✓,90.00%,70.00%,10.00%,6.00%,2.00%,0.40%,2019
NC State 3,Greensboro,90.2,✓,94.00%,72.00%,40.00%,7.00%,2.00%,0.30%,2019
Marquette 5,Chicago,92.3,✓,86.00%,44.00%,6.00%,4.00%,0.90%,0.20%,2019
Maryland 3,Albany,91.5,✓,98.00%,76.00%,10.00%,4.00%,0.70%,0.20%,2019
Oregon St. 4,Albany,93.4,✓,96.00%,83.00%,21.00%,3.00%,0.60%,0.10%,2019
DePaul 6,Chicago,88.9,✓,83.00%,34.00%,17.00%,2.00%,0.40%,<0.1 %,2019
Iowa State 3,Chicago,88.5,✓,98.00%,63.00%,25.00%,2.00%,0.30%,<0.1 %,2019
Syracuse 3,Portland,88.7,✓,91.00%,69.00%,8.00%,1.00%,0.30%,<0.1 %,2019
Miami 4,Portland,87.8,✓,82.00%,60.00%,7.00%,1.00%,0.20%,<0.1 %,2019
Texas 7,Portland,89.6,✓,76.00%,7.00%,4.00%,1.00%,0.20%,<0.1 %,2019
Florida State 5,Greensboro,87.1,✓,84.00%,25.00%,2.00%,0.90%,0.20%,<0.1 %,2019
Texas A&M 4,Chicago,88.3,✓,92.00%,53.00%,3.00%,1.00%,0.20%,<0.1 %,2019
Missouri 7,Greensboro,87.4,✓,66.00%,17.00%,7.00%,0.90%,0.20%,<0.1 %,2019
Arizona St. 5,Portland,88.3,✓,69.00%,26.00%,4.00%,0.90%,0.10%,<0.1 %,2019
Kentucky 6,Greensboro,85.2,✓,68.00%,21.00%,8.00%,0.80%,0.10%,<0.1 %,2019
UCLA 6,Albany,89.6,✓,56.00%,14.00%,1.00%,0.30%,<0.1 %,<0.1 %,2019
Cen. Mich. 8,Chicago,86.2,✓,60.00%,2.00%,0.90%,0.40%,<0.1 %,<0.1 %,2019
S. Dakota St. 6,Portland,86.6,✓,65.00%,21.00%,2.00%,0.40%,<0.1 %,<0.1 %,2019
Tennessee 11,Albany,85.4,✓,44.00%,10.00%,0.60%,0.10%,<0.1 %,<0.1 %,2019
Michigan 8,Albany,84.8,✓,67.00%,5.00%,2.00%,0.20%,<0.1 %,<0.1 %,2019
Buffalo 10,Albany,84.4,✓,51.00%,1.00%,0.50%,0.10%,<0.1 %,<0.1 %,2019
Rutgers 7,Albany,83.2,✓,49.00%,1.00%,0.50%,0.10%,<0.1 %,<0.1 %,2019
Gonzaga 5,Albany,84.8,✓,87.00%,15.00%,2.00%,0.10%,<0.1 %,<0.1 %,2019
Kansas State 9,Albany,81.1,✓,33.00%,1.00%,0.30%,<0.1 %,<0.1 %,<0.1 %,2019
Boise State 13,Albany,76,✓,4.00%,1.00%,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
Ark.-LR 12,Albany,74.2,✓,13.00%,0.50%,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
Radford 14,Albany,70.2,✓,2.00%,0.20%,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
Towson 15,Albany,66.6,✓,0.10%,<0.1 %,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
Rob. Morris 16,Albany,66.9,✓,0.30%,<0.1 %,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
Michigan St. 9,Chicago,83,✓,40.00%,0.90%,0.40%,0.10%,<0.1 %,<0.1 %,2019
Auburn 10,Chicago,80.7,✓,55.00%,3.00%,0.80%,<0.1 %,<0.1 %,<0.1 %,2019
Missouri St. 11,Chicago,78.4,✓,17.00%,3.00%,0.40%,<0.1 %,<0.1 %,<0.1 %,2019
Rice 12,Chicago,77.6,✓,14.00%,3.00%,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
BYU 7,Chicago,77.4,✓,45.00%,2.00%,0.30%,<0.1 %,<0.1 %,<0.1 %,2019
UC-Davis 15,Chicago,76.8,✓,4.00%,2.00%,0.30%,<0.1 %,<0.1 %,<0.1 %,2019
Wright State 13,Chicago,76.3,✓,8.00%,1.00%,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
NM State 14,Chicago,67,✓,2.00%,<0.1 %,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
Beth.-Cook. 16,Chicago,63.5,✓,<0.1 %,<0.1 %,<0.1 %,<0.1 %,<0.1 %,<0.1 %,2019
California 8,Greensboro,84.3,✓,64.00%,1.00%,0.30%,<0.1 %,<0.1 %,<0.1 %,2019
Drake 10,Greensboro,81.9,✓,34.00%,6.00%,1.00%,<0.1 %,<0.1 %,<0.1 %,2019
Princeton 11,Greensboro,80.2,✓,32.00%,6.00%,1.00%,<0.1 %,<0.1 %,<0.1 %,2019
UNC 9,Greensboro,80.4,✓,36.00%,0.30%,0.10%,<0.1 %,<0.1 %,<0.1 %,2019
Belmont 13,Greensboro,80,✓,10.00%,3.00%,0.10%,<0.1 %,<0.1 %,<0.1 %,2019
