TeamID,TeamName,TeamF
3101,Abilene Chr,Ablilene Chr.
3102,Air Force,Air Force
3103,Akron,Akron
3104,Alabama,Alabama
3105,Alabama A&M,Alabama A&M
3106,Alabama St,Alabama St
3107,SUNY Albany,SUNY Albany
3108,Alcorn St,Alcorn St
3109,Alliant Intl,Alliant Intl
3110,American Univ,American Univ
3111,Appalachian St,Appalachian St
3112,Arizona,Arizona
3113,Arizona St,Arizona St.
3114,Ark Little Rock,Ark.-LR
3115,Ark Pine Bluff,Ark Pine Bluff
3116,Arkansas,Arkansas
3117,Arkansas St,Arkansas St
3118,Armstrong St,Armstrong St
3119,Army,Army
3120,Auburn,Auburn
3121,Augusta,Augusta
3122,Austin Peay,Austin Peay
3123,Ball St,Ball St
3124,Baylor,Baylor
3125,Belmont,Belmont
3126,Bethune-Cookman,Beth.-Cook.
3127,Binghamton,Binghamton
3128,Birmingham So,Birmingham So
3129,Boise St,Boise State
3130,Boston College,Boston College
3131,Boston Univ,Boston Univ
3132,Bowling Green,Bowling Green
3133,Bradley,Bradley
3134,Brooklyn,Brooklyn
3135,Brown,Brown
3136,Bryant,Bryant
3137,Bucknell,Bucknell
3138,Buffalo,Buffalo
3139,Butler,Butler
3140,BYU,BYU
3141,C Michigan,Cen.Mich.
3142,Cal Poly,Cal Poly
3143,California,California
3144,Campbell,Campbell
3145,Canisius,Canisius
3146,Cent Arkansas,Cent Arkansas
3147,Centenary,Centenary
3148,Central Conn,Central Conn
3149,Charleston So,Charleston So
3150,Charlotte,Charlotte
3151,Chattanooga,Chattanooga
3152,Chicago St,Chicago St
3153,Cincinnati,Cincinnati
3155,Clemson,Clemson
3156,Cleveland St,Cleveland St
3157,Coastal Car,Coastal Car
3158,Col Charleston,Col Charleston
3159,Colgate,Colgate
3160,Colorado,Colorado
3161,Colorado St,Colorado St
3162,Columbia,Columbia
3163,Connecticut,UConn
3164,Coppin St,Coppin St
3165,Cornell,Cornell
3166,Creighton,Creighton
3167,CS Bakersfield,CS Bakersfield
3168,CS Fullerton,CS Fullerton
3169,CS Northridge,CS Northridge
3170,CS Sacramento,CS Sacramento
3171,Dartmouth,Dartmouth
3172,Davidson,Davidson
3173,Dayton,Dayton
3174,Delaware,Delaware
3175,Delaware St,Delaware St
3176,Denver,Denver
3177,DePaul,DePaul
3178,Detroit,Detroit
3179,Drake,Drake
3180,Drexel,Drexel
3181,Duke,Duke
3182,Duquesne,Duquesne
3183,E Illinois,E Illinois
3184,E Kentucky,E Kentucky
3185,E Michigan,E Michigan
3186,E Washington,E Washington
3187,East Carolina,East Carolina
3188,SIUE,SIUE
3189,Elon,Elon
3190,ETSU,ETSU
3191,Evansville,Evansville
3192,F Dickinson,F Dickinson
3193,Fairfield,Fairfield
3194,FL Atlantic,FL Atlantic
3195,FL Gulf Coast,FGCU
3196,Florida,Florida
3197,Florida A&M,Florida A&M
3198,Florida Intl,Florida Intl
